Country Name,Country Code,Indicator Name,Indicator Code
Arab World,ARB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS
Arab World,ARB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Arab World,ARB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS
Arab World,ARB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Arab World,ARB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
Arab World,ARB,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
Arab World,ARB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
Arab World,ARB,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
Arab World,ARB,Control of Corruption: Estimate,CC.EST
Arab World,ARB,Cooling Degree Days (projected change in number of degree Celsius),EN.CLC.CDDY.XD
Arab World,ARB,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
Arab World,ARB,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
Arab World,ARB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
Arab World,ARB,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Arab World,ARB,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD
Arab World,ARB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
Arab World,ARB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
Arab World,ARB,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
Arab World,ARB,Forest area (% of land area),AG.LND.FRST.ZS
Arab World,ARB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
Arab World,ARB,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
Arab World,ARB,Gini index (World Bank estimate),SI.POV.GINI
Arab World,ARB,Government Effectiveness: Estimate,GE.EST
Arab World,ARB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
Arab World,ARB,Heat Index 35 (projected change in days),EN.CLC.HEAT.XD
Arab World,ARB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
Arab World,ARB,Income share held by lowest 20%,SI.DST.FRST.20
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS
